"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.10","log2fold_change","Auc"
"3","ENSG00000019582","hurdle",0,0.3842262,4.5178584,4.1336322,0.993
"73","ENSG00000204287","hurdle",0,-0.9544637,3.2987818,4.2532455,0.98
"68","ENSG00000196126","hurdle",0,-0.6017666,2.5812457,3.1830123,0.956
"75","ENSG00000223865","hurdle",0,-0.8472621,2.2744289,3.121691,0.938
"22","ENSG00000105369","hurdle",0,-3.01175,1.812145,4.823895,0.932
"77","ENSG00000231389","hurdle",0,-1.220828,2.039889,3.260717,0.929
"1","ENSG00000007312","hurdle",0,-2.539181,1.620184,4.159365,0.913
"71","ENSG00000198502","hurdle",0,-1.33139,1.518557,2.849947,0.902
"70","ENSG00000196735","hurdle",0,-2.1477483,0.9678904,3.1156387,0.863
"19","ENSG00000104894","hurdle",0,0.01272987,1.98382034,1.97109047,0.859
"80","ENSG00000237541","hurdle",0,-2.425051,0.4715365,2.8965875,0.818
"64","ENSG00000179344","hurdle",0,-2.0515218,0.3960718,2.4475936,0.794
"16","ENSG00000100721","hurdle",0,-3.27066,1.012401,4.283061,0.78
"47","ENSG00000156738","hurdle",0,-3.2515136,0.1543592,3.4058728,0.775
"72","ENSG00000204257","hurdle",0,-2.46985186,-0.02380163,2.44605023,0.749
"83","ENSG00000242574","hurdle",0,-2.858959,-0.4165311,2.4424279,0.705
"48","ENSG00000158517","hurdle",0,-2.6208508,-0.4743214,2.1465294,0.689
"30","ENSG00000122986","hurdle",0,-3.0199312,-0.5374691,2.4824621,0.68
"84","ENSG00000247982","hurdle",0,-3.3035636,-0.6154314,2.6881322,0.676
"28","ENSG00000112799","hurdle",0,-2.967016,-0.872073,2.094943,0.659
"49","ENSG00000162144","hurdle",0,-2.9017127,-0.8446659,2.0570468,0.648
"31","ENSG00000128218","hurdle",0,-3.3155978,-0.8611339,2.4544639,0.648
"21","ENSG00000104921","hurdle",0,-3.3100225,-0.9358814,2.3741411,0.643
"87","ENSG00000269404","hurdle",0,-3.296197,-1.060557,2.23564,0.639
"41","ENSG00000145088","hurdle",0,-3.130799,-1.02048,2.110319,0.638
"40","ENSG00000140968","hurdle",0,-3.18135,-1.013612,2.167738,0.631
"67","ENSG00000188820","hurdle",0,-2.6415502,-0.9855943,1.6559559,0.624
"74","ENSG00000205302","hurdle",0,-2.572032,-1.060839,1.511193,0.621
"24","ENSG00000107438","hurdle",0,-3.043034,-1.324141,1.718893,0.62
"27","ENSG00000112335","hurdle",1.67110461916018e-227,-1.4842706,-0.4820933,1.0021773,0.619
"45","ENSG00000153064","hurdle",0,-3.289618,-1.378385,1.911233,0.617
"37","ENSG00000136573","hurdle",0,-3.237164,-1.365631,1.871533,0.617
"78","ENSG00000233016","hurdle",3.59085327242578e-223,-1.476922,-0.4739263,1.0029957,0.616
"82","ENSG00000241106","hurdle",0,-3.29895,-1.39065,1.9083,0.615
"42","ENSG00000147535","hurdle",0,-3.026777,-1.158046,1.868731,0.613
"86","ENSG00000254709","hurdle",0,-3.0558914,0.7788011,3.8346925,0.612
"5","ENSG00000042493","hurdle",3.39881313245272e-291,-2.611934,-1.172622,1.439312,0.608
"17","ENSG00000101017","hurdle",0,-3.237455,-1.451488,1.785967,0.604
"62","ENSG00000176533","hurdle",0,-3.193275,-1.490426,1.702849,0.603
"33","ENSG00000132185","hurdle",0,-3.313852,-1.574576,1.739276,0.601
"11","ENSG00000083454","hurdle",0,-3.198865,-1.460731,1.738134,0.601
"58","ENSG00000170476","hurdle",0,-3.197709,-1.02844,2.169269,0.591
"55","ENSG00000168081","hurdle",0,-3.305413,-1.67656,1.628853,0.589
"39","ENSG00000138639","hurdle",0,-3.302153,-1.62426,1.677893,0.589
"2","ENSG00000012124","hurdle",0,-3.302639,-1.657187,1.645452,0.588
"14","ENSG00000099956","hurdle",5.02411716296765e-195,-2.509468,-1.361115,1.148353,0.587
"23","ENSG00000106537","hurdle",0,-3.304867,-1.616839,1.688028,0.586
"12","ENSG00000086730","hurdle",1.25046840312628e-299,-2.983167,-1.609915,1.373252,0.585
"63","ENSG00000177455","hurdle",0,-3.308262,-1.76447,1.543792,0.584
"25","ENSG00000108639","hurdle",4.34131863680854e-160,-2.422199,-1.356875,1.065324,0.582
"59","ENSG00000171604","hurdle",3.62687832884974e-209,-2.913125,-1.670261,1.242864,0.58
"7","ENSG00000072694","hurdle",0,-3.263088,-1.838553,1.424535,0.577
"38","ENSG00000137101","hurdle",0,-3.269159,-1.721814,1.547345,0.576
"76","ENSG00000226777","hurdle",0,-3.295781,-1.715552,1.580229,0.574
"20","ENSG00000104903","hurdle",5.03446547652819e-265,-2.946247,-1.692778,1.253469,0.573
"44","ENSG00000152804","hurdle",0,-3.193858,-1.841903,1.351955,0.571
"18","ENSG00000103811","hurdle",3.13176013066629e-161,-2.720467,-1.670027,1.05044,0.571
"56","ENSG00000168734","hurdle",0,-3.253216,-1.871728,1.381488,0.57
"34","ENSG00000132465","hurdle",0,-3.212835,-1.119908,2.092927,0.57
"29","ENSG00000116191","hurdle",0,-3.265791,-1.943497,1.322294,0.568
"13","ENSG00000095585","hurdle",0,-3.311196,-1.94518,1.366016,0.568
"36","ENSG00000135916","hurdle",3.98071376963142e-236,-2.781385,-1.359868,1.421517,0.567
"51","ENSG00000163683","hurdle",5.1883951532333e-196,-2.977886,-1.801523,1.176363,0.566
"4","ENSG00000023445","hurdle",2.00204745926206e-189,-2.755629,-1.62576,1.129869,0.566
"26","ENSG00000110777","hurdle",2.87471610860265e-315,-3.303124,-2.109669,1.193455,0.564
"9","ENSG00000079950","hurdle",2.15210199880995e-229,-3.055656,-1.854524,1.201132,0.564
"32","ENSG00000130348","hurdle",3.52467238554706e-221,-3.148901,-2.007055,1.141846,0.561
"57","ENSG00000169413","hurdle",5.99608917335338e-222,-3.103748,-1.839575,1.264173,0.56
"52","ENSG00000166428","hurdle",0,-3.198119,-1.67036,1.527759,0.56
"35","ENSG00000133789","hurdle",1.17095914966438e-299,-3.257376,-2.08647,1.170906,0.558
"46","ENSG00000154102","hurdle",1.55892902244889e-171,-3.049837,-2.016791,1.033046,0.557
"10","ENSG00000081189","hurdle",3.89304780631689e-303,-3.255758,-2.098897,1.156861,0.555
"61","ENSG00000175857","hurdle",3.74185893145978e-305,-3.284887,-2.11327,1.171617,0.553
"43","ENSG00000152492","hurdle",3.5880138826583e-161,-3.173159,-2.104502,1.068657,0.553
"53","ENSG00000167483","hurdle",0,-3.309997,-2.194178,1.115819,0.551
"8","ENSG00000077238","hurdle",1.26150605493361e-223,-3.029459,-1.883759,1.1457,0.55
"54","ENSG00000167641","hurdle",1.78631050447287e-239,-3.279233,-2.184845,1.094388,0.549
"66","ENSG00000185507","hurdle",2.82237598226235e-157,-2.68878,-1.450897,1.237883,0.548
"15","ENSG00000099958","hurdle",4.94065645841247e-323,-3.290014,-1.942912,1.347102,0.548
"69","ENSG00000196628","hurdle",4.60471782982559e-238,-3.297621,-2.272791,1.02483,0.546
"79","ENSG00000234184","hurdle",2.29588057196435e-300,-3.317513,-2.22538,1.092133,0.543
"50","ENSG00000163534","hurdle",3.79847510089989e-284,-3.312422,-2.293284,1.019138,0.542
"85","ENSG00000253701","hurdle",7.65542455011089e-239,-3.288505,-1.42639,1.862115,0.54
"81","ENSG00000239961","hurdle",1.31985738299781e-176,-3.295083,-2.233698,1.061385,0.528
"65","ENSG00000184709","hurdle",3.23230976983026e-240,-3.304475,-1.82979,1.474685,0.528
"60","ENSG00000171611","hurdle",4.73891897122486e-128,-3.121866,-2.092749,1.029117,0.52
"6","ENSG00000070031","hurdle",7.88572537954714e-153,-3.302986,-2.20762,1.095366,0.519
